id,type,name,vintage,adapted_from,adaptation,sequel,related,spinoff,episode_count,genres,themes,nb_votes,weighted_score,bayesian_score,begin_year,end_year
25106,TV,Urusei Yatsura,2022,2419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25104,TV,Lycoris Recoil,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25102,TV,AMAIM Warrior at the Borderline,2022-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25101,movie,Horror of the Underworld,2021-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA
25100,movie,Katsugeki: Touken Ranbu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25098,TV,Kaginado,2022-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25097,TV,Baby-Hamitang,1/12/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25095,movie,Witch on the Holy Night,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25093,TV,Faraway Paladin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25092,TV,Pop Team Epic,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25089,movie,Eiga Odd Taxi: In the Woods,4/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25088,movie,Sprin' Pan Let's go forward!,6/15/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA
25086,TV,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,NA,25084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25078,TV,Muv-Luv Alternative,2022-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25077,TV,Komi Can't Communicate,2022-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25075,movie,Shimajir?? to Kirakira ??koku no ??ji-sama,3/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
25072,TV,Vampire Dies in No Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
